"","id","country","publication_date","source","source_type","headline","headline_mt","m_fr_eco","m_fr_lab","m_fr_wel","m_fr_sec"
"663",663,"UK","2017-02-21","mirror.co.uk","Online","Fears 74 dead migrants washed ashore may have been murdered as they fled their
homes;
WARNING GRAPHIC IMAGES The 71 men and three women who drowned at the weekend are
likely to be from sub-Sahara","Fears 74 dead migrants washed ashore may have been murdered as they fled their
homes;
WARNING GRAPHIC IMAGES The 71 men and three women who drowned at the weekend are
likely to be from sub-Sahara",1,0,1,1
"668",668,"UK","2015-06-13","The Daily Telegraph","Print","Romanian migrants turn their families into thugs'","Romanian migrants turn their families into thugs'",0,1,0,0
"671",671,"UK","2016-02-26","The Daily Telegraph","Print","Howard snubs PM and calls for Brexit","Howard snubs PM and calls for Brexit",0,0,1,0
"672",672,"UK","2017-08-11","Metro","Print","African migrants land on beach and run off past holidaymakers","African migrants land on beach and run off past holidaymakers",0,0,0,1
"673",673,"UK","2016-12-08","mirror.co.uk","Online","'Senseless violence' as leather-jacketed thug kicks woman down subway stairs and
she lands on her FACE;
The unprovoked attack shows four men target a stranger in public in a brutal
assault that sends her to hospital","'Senseless violence' as leather-jacketed thug kicks woman down subway stairs and
she lands on her FACE;
The unprovoked attack shows four men target a stranger in public in a brutal
assault that sends her to hospital",0,0,0,1
"675",675,"UK","2016-07-11","telegraph.co.uk","Online","Post-Brexit Britain will offer more for start-ups","Post-Brexit Britain will offer more for start-ups",0,1,0,0
"677",677,"UK","2017-09-06","Daily Mirror","Print","We had a normal home, a peaceful life.. but then this became our reality;
pain of syrian refugees","We had a normal home, a peaceful life.. but then this became our reality;
pain of syrian refugees",0,0,1,0
"685",685,"UK","2015-05-04","The Daily Telegraph","Print","The universal message after May 7 has to be: Britain is open for business;
Letters to the Editor","The universal message after May 7 has to be: Britain is open for business;
Letters to the Editor",1,1,1,0
"690",690,"UK","2015-02-21","The Daily Telegraph","Print","WHAT TO WATCH;
TUESDAY 24 FEBRUARY","WHAT TO WATCH;
TUESDAY 24 FEBRUARY",0,0,0,1
"692",692,"UK","2016-03-13","mirror.co.uk","Online","Top Tory's heartless plan to put pensioners to work picking fruit;
Owen Paterson put forward the idea as a way of cutting eastern European
immigration and even said they should be paid less than the minimum wage","Top Tory's heartless plan to put pensioners to work picking fruit;
Owen Paterson put forward the idea as a way of cutting eastern European
immigration and even said they should be paid less than the minimum wage",0,1,0,0
"697",697,"UK","2008-04-30","Daily Mirror","Print","UNITED CHARGED UP","UNITED CHARGED UP",1,1,0,0
"698",698,"UK","2013-01-15","The Daily Telegraph","Print","Migrant jailed for crime unit fraud;
In Brief","Migrant jailed for crime unit fraud;
In Brief",0,1,0,1
"700",700,"UK","2004-09-05","Daily Mirror","Print","THE FUGITIVE..;
 WOMAN IN BOGUS MARRIAGE CASE SKIPS BAIL AND FLEES BACK HOME TO","THE FUGITIVE..;
 WOMAN IN BOGUS MARRIAGE CASE SKIPS BAIL AND FLEES BACK HOME TO",0,0,0,1
"701",701,"UK","2015-09-29","The Guardian","Print","South Park depicts Donald Trump being brutally murdered;
Controversial episode skewers Republican frontrunner's immigration policy with
Trump elected as Canada's president, which prompts mass migration into US","South Park depicts Donald Trump being brutally murdered;
Controversial episode skewers Republican frontrunner's immigration policy with
Trump elected as Canada's president, which prompts mass migration into US",0,0,0,1
"704",704,"UK","2017-08-31","mirror.co.uk","Online","Six people arrested as popular Punjabi restaurant Tayyabs shut 'for illegal
working' leaving customers shocked;
A letter from Immigration Enforcement titled 'illegal working closure notice'
appeared to be posted on the window of the restaurant","Six people arrested as popular Punjabi restaurant Tayyabs shut 'for illegal
working' leaving customers shocked;
A letter from Immigration Enforcement titled 'illegal working closure notice'
appeared to be posted on the window of the restaurant",0,1,0,1
"705",705,"UK","2013-08-13","Metro","Print","Bryant's U-turn over Next and Tesco workers","Bryant's U-turn over Next and Tesco workers",0,1,0,0
"710",710,"UK","2015-11-18","The Guardian","Print","Our asylum laws are blind to many child victims of gang violence;
The United States only grants asylum to children who were once gang members, not
ones who are fleeing forced membership. Why?","Our asylum laws are blind to many child victims of gang violence;
The United States only grants asylum to children who were once gang members, not
ones who are fleeing forced membership. Why?",0,0,0,1
"720",720,"UK","2002-11-23","The Daily Telegraph","Print","Griffin cites Le Pen effect as BNP wins another seat","Griffin cites Le Pen effect as BNP wins another seat",0,0,0,0
"729",729,"UK","2003-01-23","Daily Mirror","Print","HIV RISE 'DUE TO ASYLUM SEEKERS'","HIV RISE 'DUE TO ASYLUM SEEKERS'",0,0,0,0
"731",731,"UK","2017-01-04","telegraph.co.uk","Online","Austrian police searching for group of men 'of foreign appearance' over New
Years Eve sexual assaults in Innsbruck","Austrian police searching for group of men 'of foreign appearance' over New
Years Eve sexual assaults in Innsbruck",0,1,0,1
"732",732,"UK","2008-05-23","The Daily Telegraph","Print","South Africa troops back in townships","South Africa troops back in townships",0,1,1,0
"734",734,"UK","2001-11-22","The Daily Telegraph","Print","Denmark's Right ends 80 years in wilderness","Denmark's Right ends 80 years in wilderness",0,0,1,0
"735",735,"UK","2015-11-26","The Guardian","Print","Cameron ally says hopes fading for EU membership deal this year;
December deadline slipping, warns Dutch PM, as counter-terrorism and migration
dislodge 'British question' from European summit agenda","Cameron ally says hopes fading for EU membership deal this year;
December deadline slipping, warns Dutch PM, as counter-terrorism and migration
dislodge 'British question' from European summit agenda",0,1,1,1
"738",738,"UK","2016-10-22","The Daily Telegraph","Print","Migrant age checks only made on 'over-25s'","Migrant age checks only made on 'over-25s'",0,0,0,1
"742",742,"UK","2016-05-26","mirror.co.uk","Online","G7 summit sees world leaders testing self-driving cars as they consider
congestion-easing measures;
The G7 summit also looks set to cover topics such as the global economy, refugee
crisis, and combating terrorism","G7 summit sees world leaders testing self-driving cars as they consider
congestion-easing measures;
The G7 summit also looks set to cover topics such as the global economy, refugee
crisis, and combating terrorism",0,0,0,0
"746",746,"UK","2008-07-05","The Guardian","Print","National: This Week: People: Labour pains: Hector Goudreau","National: This Week: People: Labour pains: Hector Goudreau",1,1,0,0
"749",749,"UK","2014-05-15","telegraph.co.uk","Online","Little Hannah gets her first taste of immigration red tape;
Trying to get a passport for a baby highlights the absurdities of our passports
system","Little Hannah gets her first taste of immigration red tape;
Trying to get a passport for a baby highlights the absurdities of our passports
system",0,0,0,1
"750",750,"UK","2004-08-20","Daily Mirror","Print","AFGHAN PAIR WIN PLACES AT TOP UNIS","AFGHAN PAIR WIN PLACES AT TOP UNIS",0,0,1,0
"752",752,"UK","2015-06-18","Metro","Print","Pope: Stop closing door on migrants","Pope: Stop closing door on migrants",0,0,0,0
"758",758,"UK","2013-08-28","telegraph.co.uk","Online","Number of foreign nationals on benefits soars to 400,000;
The number of foreign nationals claiming benefits such as Jobseeker's Allowance
has jumped by 40 per cent in just four years to more than 400,000, new
government figures have disclosed.","Number of foreign nationals on benefits soars to 400,000;
The number of foreign nationals claiming benefits such as Jobseeker's Allowance
has jumped by 40 per cent in just four years to more than 400,000, new
government figures have disclosed.",1,1,1,1
"759",759,"UK","2016-04-29","The Guardian","Print","London mayor race: Khan's Citizens night showed how Labour could be;
The Labour candidate's empathy with a passionate, multi-faith crowd of
grassroots campaigners showed what a beacon he would be as mayor","London mayor race: Khan's Citizens night showed how Labour could be;
The Labour candidate's empathy with a passionate, multi-faith crowd of
grassroots campaigners showed what a beacon he would be as mayor",0,0,0,0
"762",762,"UK","2016-10-17","The Guardian","Print","No 10 plays down cabinet differences over Brexit;
PM said to have 'full confidence' in Philip Hammond after cabinet members
reportedly criticised chancellor's stance","No 10 plays down cabinet differences over Brexit;
PM said to have 'full confidence' in Philip Hammond after cabinet members
reportedly criticised chancellor's stance",0,1,1,0
"764",764,"UK","2016-02-25","mirror.co.uk","Online","Michael Gove 'could be sacked' over attacks on David Cameron's EU deal;
The Justice Secretary - who was previously axed from his Education Brief - could
be in the firing line after saying the PM's deal wasn't legally binding","Michael Gove 'could be sacked' over attacks on David Cameron's EU deal;
The Justice Secretary - who was previously axed from his Education Brief - could
be in the firing line after saying the PM's deal wasn't legally binding",0,1,0,0
"767",767,"UK","2005-12-29","The Guardian","Print","National Archives: Mid-life stresses forced MP to flee family and cabinet:
Official papers released today reveal why Stonehouse faked his own death by
leaving a pile of clothes on a Miami beach","National Archives: Mid-life stresses forced MP to flee family and cabinet:
Official papers released today reveal why Stonehouse faked his own death by
leaving a pile of clothes on a Miami beach",0,0,0,1
"769",769,"UK","2004-01-03","The Daily Telegraph","Print","Howard labouring with lack of recognition among voters Your Shout: Andrew Gimson
takes soundings in Lowestoft","Howard labouring with lack of recognition among voters Your Shout: Andrew Gimson
takes soundings in Lowestoft",0,0,0,0
"771",771,"UK","2015-12-03","The Guardian","Print","Detain refugees arriving in Europe for 18 months, says Tusk;
European council president says tougher screening measures needed to counter
security risks and describes Angela Merkel's open-door policy as 'dangerous'","Detain refugees arriving in Europe for 18 months, says Tusk;
European council president says tougher screening measures needed to counter
security risks and describes Angela Merkel's open-door policy as 'dangerous'",0,0,0,1
"772",772,"UK","2005-05-10","The Guardian","Print","After the election: Secret Tory fund helped win marginals: Campaign: Labour and
Lib Dem seats targeted for this and next election","After the election: Secret Tory fund helped win marginals: Campaign: Labour and
Lib Dem seats targeted for this and next election",1,0,1,0
"774",774,"UK","2009-05-13","Daily Mirror","Print","DEPORTED..TO ANSWER FOR 29,000 HOLOCAUST DEATHS;
DEMJANJUK FACES WAR CRIME TRIAL","DEPORTED..TO ANSWER FOR 29,000 HOLOCAUST DEATHS;
DEMJANJUK FACES WAR CRIME TRIAL",0,1,0,1
"777",777,"UK","2015-06-25","telegraph.co.uk","Online","Middle aged Britain: average age hits 40 as population surges to record;
Soaring immigration and impact of ageing population drive UK population to 64.6
million","Middle aged Britain: average age hits 40 as population surges to record;
Soaring immigration and impact of ageing population drive UK population to 64.6
million",1,0,1,0
"779",779,"UK","2008-06-16","The Guardian","Print","Comment & Debate: 42 days? Try 18 months: This European targeting of illegal
immigrants is hypocritical, draconian and undiplomatic","Comment & Debate: 42 days? Try 18 months: This European targeting of illegal
immigrants is hypocritical, draconian and undiplomatic",1,1,1,1
"787",787,"UK","2004-02-11","The Guardian","Print","Top judge condemns asylum proposals: Drop plan to bar courts from review
process, urges Lord Woolf","Top judge condemns asylum proposals: Drop plan to bar courts from review
process, urges Lord Woolf",0,0,0,0
"788",788,"UK","2015-03-06","The Guardian","Print","Orange lifeboats used to return asylum seekers to be replaced by 'fishing
boats';
Exclusive: Lifeboats have been used to send asylum seekers back to source
countries but a 'multi-million dollar' deal has been signed for new boats built
in Vietnam","Orange lifeboats used to return asylum seekers to be replaced by 'fishing
boats';
Exclusive: Lifeboats have been used to send asylum seekers back to source
countries but a 'multi-million dollar' deal has been signed for new boats built
in Vietnam",1,0,0,0
"789",789,"UK","2013-07-23","The Guardian","Print","Reply: Letter: Double standards on immigration","Reply: Letter: Double standards on immigration",1,1,1,0
"794",794,"UK","2005-02-28","Daily Mirror","Print","ASYLUM ANGUISH","ASYLUM ANGUISH",0,0,0,1
"795",795,"UK","2014-03-10","telegraph.co.uk","Online","Syrian forces 'committing war crimes by starving Palestinian camp';
Amnesty International has accused goverment forces of starving the population
and targeting doctors in Damascus' Yarmouk refugee camp","Syrian forces 'committing war crimes by starving Palestinian camp';
Amnesty International has accused goverment forces of starving the population
and targeting doctors in Damascus' Yarmouk refugee camp",0,0,0,0
"796",796,"UK","2013-01-31","The Daily Telegraph","Print","Polish is the second language of England;
After decade of unprecedented immigration, the eastern European tongue has
pushed aside Urdu or Bengali and changed the sound of Britain","Polish is the second language of England;
After decade of unprecedented immigration, the eastern European tongue has
pushed aside Urdu or Bengali and changed the sound of Britain",0,1,1,0
"799",799,"UK","2013-01-28","The Daily Telegraph","Print","Romanians told: life is tough in Britain","Romanians told: life is tough in Britain",0,1,1,0
"800",800,"UK","2013-07-29","Daily Mirror","Print","Ad nausea;
VOICE OF THE voice@mirror.co.uk","Ad nausea;
VOICE OF THE voice@mirror.co.uk",0,0,0,1
"801",801,"UK","2001-04-13","Daily Mirror","Print","REUNITED;
 EXCLUSIVE: BABY JOY FOR COUPLE AS REFUGEE IS LET BACK INTO IRELAND TO SEE BIRTH","REUNITED;
 EXCLUSIVE: BABY JOY FOR COUPLE AS REFUGEE IS LET BACK INTO IRELAND TO SEE BIRTH",0,1,1,1
"802",802,"UK","2015-10-05","The Guardian","Print","Natacha Bouchart is wrong: Britain is no El Dorado for asylum seekers;
The mayor of Calais is misguided to suggest that migrants are 'prepared to die'
for benefits. The UK has welcomed far fewer than some of its EU partners","Natacha Bouchart is wrong: Britain is no El Dorado for asylum seekers;
The mayor of Calais is misguided to suggest that migrants are 'prepared to die'
for benefits. The UK has welcomed far fewer than some of its EU partners",1,0,1,0
"818",818,"UK","2012-11-23","telegraph.co.uk","Online","Fleeing children who face death and squalor in wartorn Congo;
The barefoot refugee children who sleep on piercing volcanic rock are proof that
war in the Democratic Republic of Congo engulfs the innocent not once, but over
and over.","Fleeing children who face death and squalor in wartorn Congo;
The barefoot refugee children who sleep on piercing volcanic rock are proof that
war in the Democratic Republic of Congo engulfs the innocent not once, but over
and over.",0,0,0,0
"820",820,"UK","2017-04-02","mirror.co.uk","Online","Scum is the right word for mob who left 17-year-old refugee fighting for life;
Our country is a welcoming land of people prepared to show the hand of
friendship to those fleeing persecution","Scum is the right word for mob who left 17-year-old refugee fighting for life;
Our country is a welcoming land of people prepared to show the hand of
friendship to those fleeing persecution",0,0,0,0
"824",824,"UK","2016-02-01","mirror.co.uk","Online","Leaflets telling migrants how to behave handed out at German swimming pools
after women 'sexually assaulted';
The guides have subtitles in English and Arabic and contain rules such as no
pushing, no diving and no touching women's behinds","Leaflets telling migrants how to behave handed out at German swimming pools
after women 'sexually assaulted';
The guides have subtitles in English and Arabic and contain rules such as no
pushing, no diving and no touching women's behinds",0,0,0,1
"828",828,"UK","2005-04-22","Daily Mirror","Print","VOICE OF THE DAILY MIRROR: THE PARTY OF LOSERS","VOICE OF THE DAILY MIRROR: THE PARTY OF LOSERS",0,0,0,0
"831",831,"UK","2013-07-29","Daily Mirror","Print","IMMIGRATION ARREST AD IS 'A CYNICAL STUNT';
Cooper backs Cable outburst","IMMIGRATION ARREST AD IS 'A CYNICAL STUNT';
Cooper backs Cable outburst",0,0,0,1
"832",832,"UK","2012-03-06","telegraph.co.uk","Online","Syrian refugees flee across Lebanon border from Homs;
It did not take long for Abu Hassan to decide to leave the place he has always
called home, a village outside the devastated Syrian city of Homs.","Syrian refugees flee across Lebanon border from Homs;
It did not take long for Abu Hassan to decide to leave the place he has always
called home, a village outside the devastated Syrian city of Homs.",0,0,0,1
"835",835,"UK","2016-06-30","The Daily Telegraph","Print","Gove's wife warns him about risk of backing Boris in leaked email;
BRE IT ; Sarah Vine tells husband to secure guarantees on immigration controls
as the price of his support ; Contenders line up as rivals to Boris for party
leadership","Gove's wife warns him about risk of backing Boris in leaked email;
BRE IT ; Sarah Vine tells husband to secure guarantees on immigration controls
as the price of his support ; Contenders line up as rivals to Boris for party
leadership",0,0,0,0
"836",836,"UK","2017-07-11","telegraph.co.uk","Online","EU anti-migrant naval mission in Med is a 'failure', Lords report finds","EU anti-migrant naval mission in Med is a 'failure', Lords report finds",0,0,1,1
"839",839,"UK","2013-07-30","telegraph.co.uk","Online","Woman jailed for child cruelty overturns deportation bid;
A German woman who was jailed for locking up her three children in squalid
conditions has won a legal challenge against the Home Office's bid to deport
her, The Telegraph can disclose.","Woman jailed for child cruelty overturns deportation bid;
A German woman who was jailed for locking up her three children in squalid
conditions has won a legal challenge against the Home Office's bid to deport
her, The Telegraph can disclose.",0,0,0,1
"840",840,"UK","2014-04-18","telegraph.co.uk","Online","Has the West fallen prey to crony capitalism?;
There are certainly signs of a wealth gap - like the explosion of buy-to-let
landlords in London - but that will inspire the strivers and innovators","Has the West fallen prey to crony capitalism?;
There are certainly signs of a wealth gap - like the explosion of buy-to-let
landlords in London - but that will inspire the strivers and innovators",1,0,0,0
"842",842,"UK","2015-10-29","The Guardian","Print","Nauru justice minister attacks 'arrogant' Australian journalists;
Responding to calls for greater access to the country, David Adeang says the
Australian media approaches reporting on Nauru 'with an air of racial
superiority'","Nauru justice minister attacks 'arrogant' Australian journalists;
Responding to calls for greater access to the country, David Adeang says the
Australian media approaches reporting on Nauru 'with an air of racial
superiority'",0,0,1,0
"843",843,"UK","2015-03-31","telegraph.co.uk","Online","11 'illegal immigrants from Syria' caught on M20 in Kent;
Police say the suspected illegal immigrants were arrested close to the turn-off
for the Eurotunnel at Folkestone","11 'illegal immigrants from Syria' caught on M20 in Kent;
Police say the suspected illegal immigrants were arrested close to the turn-off
for the Eurotunnel at Folkestone",0,0,0,1
"847",847,"UK","2011-03-01","The Guardian","Print","Migrants made to pay for cuts to immigration system budget","Migrants made to pay for cuts to immigration system budget",1,0,1,0
"848",848,"UK","2007-02-26","The Daily Telegraph","Print","Immigration influx adds to surprise house price rise","Immigration influx adds to surprise house price rise",1,1,0,0
"854",854,"UK","2014-08-13","Metro","Print","50 REFUGEES CLAMBER ON TO COPTER MADE TO CARRY 15","50 REFUGEES CLAMBER ON TO COPTER MADE TO CARRY 15",0,0,0,0
"859",859,"UK","2014-06-03","The Guardian","Print","Cameron in fresh clash with Merkel over 'consensus' on EU's top job: Europe must
be run by those who get it, he says PM seeks to stop Juncker leading 'too bossy'
body","Cameron in fresh clash with Merkel over 'consensus' on EU's top job: Europe must
be run by those who get it, he says PM seeks to stop Juncker leading 'too bossy'
body",1,1,1,0
"861",861,"UK","2008-02-14","Daily Mirror","Print","IMMIGRANT RIGHTS PLEA","IMMIGRANT RIGHTS PLEA",0,0,0,0
"865",865,"UK","2013-02-28","Daily Mirror","Print","Migrants in crime spree;
ARRESTS","Migrants in crime spree;
ARRESTS",0,0,0,0
"866",866,"UK","2013-08-17","Daily Mirror","Print","Ed's just a yolk on immigration","Ed's just a yolk on immigration",0,1,0,0
"867",867,"UK","2012-08-17","telegraph.co.uk","Online","Migrant dies trying to swim across the Channel to England","Migrant dies trying to swim across the Channel to England",0,0,0,1
"872",872,"UK","2016-04-30","mirror.co.uk","Online","David Cameron could be forced to allow 3,000 refugee children into the UK;
The Immigration Bill - which would have brought 3,000 children to the country -
was voted against last week, but sources say it could still emerge in some form","David Cameron could be forced to allow 3,000 refugee children into the UK;
The Immigration Bill - which would have brought 3,000 children to the country -
was voted against last week, but sources say it could still emerge in some form",0,0,0,0
"880",880,"UK","2017-09-02","mirror.co.uk","Online","Single market, clean break or customs union - which Brexit side do you support
and how much will it cost you?;
We look at the rival political teams battling it out and what their gameplans
mean for Britain","Single market, clean break or customs union - which Brexit side do you support
and how much will it cost you?;
We look at the rival political teams battling it out and what their gameplans
mean for Britain",1,1,0,0
"885",885,"UK","2017-07-26","The Daily Telegraph","Print","It's clear the great Brexit betrayal has begun;
An out-of-touch elite is failing to accept that the issue which won Brexit was
open-door immigration","It's clear the great Brexit betrayal has begun;
An out-of-touch elite is failing to accept that the issue which won Brexit was
open-door immigration",1,1,1,0
"887",887,"UK","2015-06-26","telegraph.co.uk","Online","EU governments kill off plans for compulsory migrant quotas;
EU leaders agree to resettle 60,000 migrants, but leaders reject Jean Claude
Juncker's plans for a mandatory redistribution","EU governments kill off plans for compulsory migrant quotas;
EU leaders agree to resettle 60,000 migrants, but leaders reject Jean Claude
Juncker's plans for a mandatory redistribution",0,0,0,0
"888",888,"UK","2006-03-10","The Daily Telegraph","Print","Spanish satire festival treads softly Artists trying not to offend Muslims,
writes David Rennie in Valencia","Spanish satire festival treads softly Artists trying not to offend Muslims,
writes David Rennie in Valencia",0,0,0,1
"891",891,"UK","2011-10-10","telegraph.co.uk","Online","David Cameron: 'immigration to be dropped to 1980s levels';
The Prime Minister pledges to bring net immigration down to tens of thousands
while conceding it has had a positive benefit to society.","David Cameron: 'immigration to be dropped to 1980s levels';
The Prime Minister pledges to bring net immigration down to tens of thousands
while conceding it has had a positive benefit to society.",1,1,1,0
"896",896,"UK","2016-06-17","mirror.co.uk","Online","Final picture of Jo Cox giving lecture to schoolchildren before being shot dead
24 hours later;
The 41-year-old mother of two was killed in the attack in Birstall, West
Yorkshire, yesterday","Final picture of Jo Cox giving lecture to schoolchildren before being shot dead
24 hours later;
The 41-year-old mother of two was killed in the attack in Birstall, West
Yorkshire, yesterday",0,0,0,0
"897",897,"UK","2015-05-20","The Guardian","Print","Rebel Wilson is 35, so what? She's paid to pretend to be someone else;
As an entertainer in an industry built on illusion, it is bizarre to consider
the strange tone of betrayal around reporting on Rebel Wilson's age","Rebel Wilson is 35, so what? She's paid to pretend to be someone else;
As an entertainer in an industry built on illusion, it is bizarre to consider
the strange tone of betrayal around reporting on Rebel Wilson's age",0,1,0,0
"900",900,"UK","2001-03-20","Daily Mirror","Print","REFUGEES' LORRY TERROR","REFUGEES' LORRY TERROR",0,0,0,1
"905",905,"UK","2000-02-12","The Guardian","Print","UN agency failed to meet refugee crisis, says report","UN agency failed to meet refugee crisis, says report",1,0,0,0
"907",907,"UK","2003-09-01","The Guardian","Print","Real lives: Nowhere has post-9/11 paranoia struck more deeply than in American
universities. Just ask Ali","Real lives: Nowhere has post-9/11 paranoia struck more deeply than in American
universities. Just ask Ali",0,0,0,1
"908",908,"UK","2012-11-29","telegraph.co.uk","Online","Sir James Dyson warns over graduate engineer shortage;
Britain's top companies are failing to recruit enough skilled engineers because
of a dire shortage of highly-trained graduates, Sir James Dyson has warned.","Sir James Dyson warns over graduate engineer shortage;
Britain's top companies are failing to recruit enough skilled engineers because
of a dire shortage of highly-trained graduates, Sir James Dyson has warned.",0,1,1,0
"909",909,"UK","2017-09-07","telegraph.co.uk","Online","'I ran to save the life of my unborn baby' - Rohingya woman gives birth fleeing
Burma, as refugees forced to take dangerous river route","'I ran to save the life of my unborn baby' - Rohingya woman gives birth fleeing
Burma, as refugees forced to take dangerous river route",0,0,0,0
"913",913,"UK","2016-06-21","The Guardian","Print","Jeremy Corbyn to issue pro-EU rallying cry to wavering Labour voters;
Labour leader will tell supporters that voting to leave EU in referendum would
risk economic recovery and workers' rights","Jeremy Corbyn to issue pro-EU rallying cry to wavering Labour voters;
Labour leader will tell supporters that voting to leave EU in referendum would
risk economic recovery and workers' rights",0,1,1,0
"917",917,"UK","2016-08-30","telegraph.co.uk","Online","Calais locals to 'indefinitely' blockade port with 'human chain'","Calais locals to 'indefinitely' blockade port with 'human chain'",0,0,0,1
"918",918,"UK","2001-12-19","The Guardian","Print","Society: Time is the healer: Imagine having your health and housing problems
both addressed by your doctor. Debbie Andalo on a pioneering trade-off that
guarantees 30 minutes with the GP","Society: Time is the healer: Imagine having your health and housing problems
both addressed by your doctor. Debbie Andalo on a pioneering trade-off that
guarantees 30 minutes with the GP",0,0,1,0
"925",925,"UK","2015-06-07","telegraph.co.uk","Online","Tories must back Cameron's push for EU to return to its roots;
Telegraph View: A new Tory eurosceptic group has been formed. We hope that they
give full support to a Prime Minister trying to get the best possible deal on
Europe","Tories must back Cameron's push for EU to return to its roots;
Telegraph View: A new Tory eurosceptic group has been formed. We hope that they
give full support to a Prime Minister trying to get the best possible deal on
Europe",1,1,1,1
"928",928,"UK","2014-03-31","Daily Mirror","Print","DYING FOR THE WORLD CUP;
1,200 workers killed in Qatar building boom Migrants are forced to live in slave
conditions","DYING FOR THE WORLD CUP;
1,200 workers killed in Qatar building boom Migrants are forced to live in slave
conditions",0,1,0,0
"930",930,"UK","2016-10-14","mirror.co.uk","Online","Lily Allen's pain at the hell of Camp Calais is something we should all be
feeling;
I provoked a similar reaction when I went there to work on a report for The One
Show. Twitter went mad with fury at my sympathy for ­immigrants","Lily Allen's pain at the hell of Camp Calais is something we should all be
feeling;
I provoked a similar reaction when I went there to work on a report for The One
Show. Twitter went mad with fury at my sympathy for ­immigrants",0,0,0,0
"931",931,"UK","2014-04-12","telegraph.co.uk","Online","3,000 jobless European migrants on benefits;
New figures show extent of benefits tourism by unemployed European migrants as
Iain Duncan Smith tightens the rules to stamp out abuse","3,000 jobless European migrants on benefits;
New figures show extent of benefits tourism by unemployed European migrants as
Iain Duncan Smith tightens the rules to stamp out abuse",1,1,1,0
"937",937,"UK","2014-09-08","The Guardian","Print","G2: Shortcuts: Human rights: Transport: Picking a fight for Burmese fruit
pickers","G2: Shortcuts: Human rights: Transport: Picking a fight for Burmese fruit
pickers",0,1,0,0
"939",939,"UK","2003-07-24","Daily Mirror","Print","BBC UNDER FIRE AGAIN","BBC UNDER FIRE AGAIN",0,0,0,0
"940",940,"UK","2016-10-28","telegraph.co.uk","Online","Lily Allen says taxi driver refused to drive her and told her to 'find an
immigrant'","Lily Allen says taxi driver refused to drive her and told her to 'find an
immigrant'",0,0,0,0
"942",942,"UK","2012-06-15","telegraph.co.uk","Online","Latinos in the US: fact box;
Latinos are seen as the sleeping giant in the 2012 US election because millions
are eligible to vote, but have not yet registered. Here are some facts about
America's Latino population.","Latinos in the US: fact box;
Latinos are seen as the sleeping giant in the 2012 US election because millions
are eligible to vote, but have not yet registered. Here are some facts about
America's Latino population.",0,1,0,1
"945",945,"UK","2015-10-13","telegraph.co.uk","Online","African students and entrepreneurs to be encouraged to migrate to EU;
European leaders will consider proposals to increase legal migration, as part of
response to refugee crisis","African students and entrepreneurs to be encouraged to migrate to EU;
European leaders will consider proposals to increase legal migration, as part of
response to refugee crisis",0,1,1,1
"951",951,"UK","2016-06-08","mirror.co.uk","Online","World's most wanted people smuggler captured in Africa and extradited to Europe
'is WRONG MAN';
Friends claim the man thought to be international kingpin Mered Medhanie is
actually a refugee who has been the victim of mistaken identity","World's most wanted people smuggler captured in Africa and extradited to Europe
'is WRONG MAN';
Friends claim the man thought to be international kingpin Mered Medhanie is
actually a refugee who has been the victim of mistaken identity",0,0,0,1
"954",954,"UK","2011-02-22","Metro","Print","71% of under 24s fear immigration","71% of under 24s fear immigration",0,1,0,0
"956",956,"UK","2007-10-24","The Guardian","Print","Europe: EU moves to bring in skilled foreign workers","Europe: EU moves to bring in skilled foreign workers",0,1,0,0
"959",959,"UK","2011-04-28","The Daily Telegraph","Print","Courts regain power to deport terrorist suspects","Courts regain power to deport terrorist suspects",0,0,0,1
"962",962,"UK","2005-01-25","The Daily Telegraph","Print","Howard's quotas are not the final word on immigration","Howard's quotas are not the final word on immigration",1,1,0,1
"965",965,"UK","2015-12-07","mirror.co.uk","Online","Boris Johnson says Britain should join forces with brutal Syrian dictator Bashar
al-Assad to defeat ISIS;
The Mayor of London says Cameron's claim of 70,000 ground troops in Syria may
have been exaggerated","Boris Johnson says Britain should join forces with brutal Syrian dictator Bashar
al-Assad to defeat ISIS;
The Mayor of London says Cameron's claim of 70,000 ground troops in Syria may
have been exaggerated",0,0,0,0
"975",975,"UK","2014-12-11","telegraph.co.uk","Online","Rome mafia scandal broadens to 'Ndrangheta in southern Italy;
Two alleged members of the 'Ndrangheta mafia arrested under investigation into
links between criminals and Italian politicians","Rome mafia scandal broadens to 'Ndrangheta in southern Italy;
Two alleged members of the 'Ndrangheta mafia arrested under investigation into
links between criminals and Italian politicians",0,0,0,0
"976",976,"UK","2015-12-16","The Daily Telegraph","Print","It is Nato - not the EU - that keeps Britain safe;
Europhile scaremongers claim Brexit will harm our security, but Brussels has now
become a hindrance","It is Nato - not the EU - that keeps Britain safe;
Europhile scaremongers claim Brexit will harm our security, but Brussels has now
become a hindrance",0,0,0,1
"977",977,"UK","2016-06-03","telegraph.co.uk","Online","Michelle Obama tells Donald Trump in rare political speech: 'In America we don't
build walls'","Michelle Obama tells Donald Trump in rare political speech: 'In America we don't
build walls'",0,0,0,1
"979",979,"UK","2012-01-19","Daily Mirror","Print","STOWAWAYS GROUNDED;
IMMIGRATION","STOWAWAYS GROUNDED;
IMMIGRATION",0,0,0,1
